County Code,District Code,School Code,School Name,Address1,Address2,City,State,Zip,Mail Addr1,Mail Addr2,Mail City,Mail State,Mail Zip,Phone,Contact Name,Contact Title,Contact Email,Profit,Pub. Sch. Dist.
"=""40""","=""1242""","=""40L""","Academy Of Our Lady Of Peace, The",99 SOUTH ST,,NEW PROVIDENCE,NJ,"=""07974""",99 South St.,,NEW PROVIDENCE,NJ,"=""07974""","=""(908)464-8657 x4""","Dr. Kelly Hart ",Principal,khart@theacademyolp.org,NOT-FOR-PROFIT,"=""3560"""
"=""28""","=""0874""","=""04I""",Academy Of Saint Elizabeth,2 CONVENT ROAD,,CONVENT STATION,NJ,"=""07961""",2 CONVENT ROAD,,CONVENT STATION,NJ,"=""07961""","=""(973)290-5200 x5211""",Dr. Beth Azar,Principal,bazar@aose.info,NOT-FOR-PROFIT,"=""3385"""
"=""04""","=""0124""","=""15B""",Academy of Saint Paul,187 WYCKOFF AVE,,RAMSEY,NJ,"=""07446""",187 Wyckoff Ave.,,RAMSEY,NJ,"=""07446""","=""(201)327-1108""",Dr. Megan Fisher,Principal,mfisher@academyofstpaul.org,NOT-FOR-PROFIT,"=""4310"""
"=""04""","=""1711""","=""02J""",Academy Of Saut Ul Furqan,250 Hargreaves Ave,,TEANECK,NJ,"=""07666""",250 Hargreaves Ave,,Teaneck,NJ,"=""07666""","=""(201)833-2162""",Omar Chaudhry,Principal,admin@sautulfurqan.org,NOT-FOR-PROFIT,"=""5150"""
"=""32""","=""1083""","=""92J""",ACADEMY OF ST. JAMES OF THE MARCHES,400 TOTOWA ROAD,,TOTOWA,NJ,"=""07512""",400 Totowa Road,,TOTOWA,NJ,"=""07512""","=""1-973-956-8824""",Lelia D. Pappas,Principal,principal@academyofstjames.org,NOT-FOR-PROFIT,"=""5200"""
"=""18""","=""0496""","=""58E""",Academy of St. Joseph Of The Palisades,6408 PALISADE AVE,,WEST NEW YORK,NJ,"=""07093""",6408-palisade ave,,WEST NEW YORK,NJ,"=""07093""","=""(201)861-3227""",Lauren Lytle,Principal,llytle@asjpalisades.org,NOT-FOR-PROFIT,"=""5670"""
"=""04""","=""0053""","=""49A""",Academy Of The Most Blessed Sacrament,785 FRANKLIN LAKE ROAD,,FRANKLIN LAKES,NJ,"=""07417""",785 FRANKLIN LAKE ROAD,18 Saddle Ridge Road,FRANKLIN LAKES,NJ,"=""07417""","=""(201)891-4250""",Mrs. Alycia Manzo,PRINCIPAL,amanzo@rcmbs.org,NOT-FOR-PROFIT,"=""1580"""
"=""20""","=""0497""","=""59E""",Acorn Montessori School,1222 ROUTE #31,,LEBANON,NJ,"=""08833""",1222 Route #31,,LEBANON,NJ,"=""08833""","=""(908)730-8986""",Meg Pfingst,Head of School,mpfingst@acornschool.org,NOT-FOR-PROFIT,"=""0920"""
"=""04""","=""2073""","=""17F""","Acton Academy of Bergen County, Inc.",30 Trautwein Crescent,,Closter,NJ,"=""07624""",30 Trautwein Crescent,,Closter,NJ,"=""07624""","=""(201)564-7988""",Michal Leshem,President,actonbergen@gmail.com,NOT-FOR-PROFIT,"=""0930"""
"=""06""","=""2057""","=""16R""",Adath Emanu-EL ECC,205 Elbo Ln.,,Mt. Laurel,NJ,"=""08054""",205 Elbo Ln.,,Mt. Laurel,NJ,"=""08054""","=""(856)608-1200""",Sandi Toben,Director,stoben@adathemanuel.org,NOT-FOR-PROFIT,"=""3440"""
"=""30""","=""2024""","=""15L""",Aderes Bais Yaakov,2031 Lanes Mill Rd.,,Lakewood,NJ,"=""08701""",2031 Lanes Mill Rd.,,Lakewood,NJ,"=""08701""","=""(732)987-6898""",Rivka Rosenman,secretary,office@aderesmiriam.org,NOT-FOR-PROFIT,"=""2520"""
"=""32""","=""1418""","=""21H""",AFO Maon Hatalmud dba Machon Romemu,733 Passaic Ave.,,Clifton,NJ,"=""07012""",88 Crescent Ave.,,Passsaic,NJ,"=""07055""","=""(973)349-2050""",Chana Alroy,Director,chana.alroy@gmail.com,NOT-FOR-PROFIT,"=""0900"""
"=""32""","=""1685""","=""18L""",AIM Academy,30 Galesi Dr./#103,,Wayne,NJ,"=""07470""",30 Galesi Dr./#103,,Wayne,NJ,"=""07470""","=""(862)290-7681""",Dr. McFadden,Director,icc07055@gmail.com,NOT-FOR-PROFIT,"=""5570"""
"=""30""","=""1668""","=""25A""",Aish Lapidot,817 Central Ave.,,Lakewood,NJ,"=""08701""",817 Central Ave.,,Lakewood,NJ,"=""08701""","=""(347)696-5351""",Devorah Krawiecz,Director,aishlapidot@gmail.com,NOT-FOR-PROFIT,"=""2520"""
"=""22""","=""0569""","=""26F""",Al Taleem Academy,25 OXFORD STREET,,TRENTON,NJ,"=""08638""",25 OXFORD STREET,,TRENTON,NJ,"=""08638""","=""(609) 695-9900""",Kanwal Cheema,PRINCIPAL,admin@altaleemacademy.org,NOT-FOR-PROFIT,"=""5210"""
"=""24""","=""2137""","=""25U""",Al-Wali Academy,10 Olsen Ave.,,Edison,NJ,"=""08820""",10 Olsen Ave.,,Edison,NJ,"=""08820""","=""(908)652-9181""",Samah Elshenawy,Principal,principal@alwaliacadmey.org,NOT-FOR-PROFIT,"=""1290"""
"=""36""","=""1112""","=""19K""","Albrook School, The",361 SOMERVILLE ROAD,,BASKING RIDGE,NJ,"=""07920""",361 Somerville Rd.,,BASKING RIDGE,NJ,"=""07920""","=""908-580 0661x211""",Pauline MacNeill,Head of School,pmacneill@albrookschool.org,NOT-FOR-PROFIT,"=""0350"""
"=""18""","=""0466""","=""29E""","Alghazaly School ",17 PARK STREET,,JERSEY CITY,NJ,"=""07304""",17 Park Street,,JERSEY CITY,NJ,"=""07304""","=""(201)433-5002 x000""",Ashraf Eisa,Director,alghazalyschoolincjc@gmail.com,FOR-PROFIT,"=""2390"""
"=""32""","=""1077""","=""87J""",Alhikmah Elementary (I.E.F),278 NORTH 8TH STREET,,PROSPECT PARK,NJ,"=""07508""",278 NORTH 8TH STREET,,PROSPECT PARK,NJ,"=""07508""","=""9737904700 X 101""",Hayat Jaludi,principal,hjaludi@iefschools.org,NOT-FOR-PROFIT,"=""4270"""
"=""14""","=""0371""","=""41D""",Alif Muhammad's Nia School,"17 Academy St., Suite 208",,NEWARK,NJ,"=""07102""","17 Academy St., Suite 208",,NEWARK,NJ,"=""07102""","=""(973)242-6610""",Alif Muhammad,President,alifmuhammad1972@gmail.com,NOT-FOR-PROFIT,"=""3570"""
"=""28""","=""2131""","=""25N""",All About the Journey,176 Rt. 46,,Rockaway,NJ,"=""07866""",66 S 2nd Ave.,,Mine Hill,NJ,"=""07803""","=""(973)867-1178""",Sandee Garrett,Director,sandeegarrett@gmail.com,FOR-PROFIT,"=""4480"""
"=""36""","=""1157""","=""60K""",All Day Learning Centers,170 TOWNSHIP LINE ROAD,,HILLSBOROUGH,NJ,"=""08844""",170 Township Line Road,,HILLSBOROUGH,NJ,"=""08844""","=""(908)359-0803""",Jackie Moore,Administrator,jackiem@alldaylearningcenters.com,NOT-FOR-PROFIT,"=""2170"""
"=""28""","=""0897""","=""26I""",All Saints Academy,189 BALDWIN ROAD,,PARSIPPANY,NJ,"=""07054""",189 Baldwin Road,,PARSIPPANY,NJ,"=""07054""","=""(973)334-4704 x302""",Leanne Gonzalez,Principal,lgonzalez@allsaintspar.org,NOT-FOR-PROFIT,"=""3950"""
"=""18""","=""0449""","=""14E""",All Saints Catholic Academy,19 WEST 13TH ST,,BAYONNE,NJ,"=""07002""",19 West 13th Street,,BAYONNE,NJ,"=""07002""","=""(201)443-8384""",Mr John Rios,Principal,johnrios@allsaintcatholicacademy.com,NOT-FOR-PROFIT,"=""0220"""
"=""18""","=""0453""","=""17E""",All Saints Episcopal Day School,707 WASHINGTON STREET,,HOBOKEN,NJ,"=""07030""",707 Washington St.,,HOBOKEN,NJ,"=""07030""","=""(201)792-0736""",Kimberly Beck,Head of School,kbeck@allsaintsdayschool.org,NOT-FOR-PROFIT,"=""2210"""
"=""24""","=""0684""","=""31G""",Alphabet Academy,186 INMAN AVE,,COLONIA,NJ,"=""07067""",186 Inman Ave.,,COLONIA,NJ,"=""07067""","=""(732)381-8323""",Loretta Gelfand,Director,mipalo1981@aol.com,FOR-PROFIT,"=""5850"""
"=""28""","=""0834""","=""67H""",Alphabetland / Amer Islamic Academy,110 HARRISON ST,,BOONTON,NJ,"=""07005""",110 Harrison Street,,BOONTON,NJ,"=""07005""","=""(973)588-4059""",Sahar Dossal,Director,diralpha@jmic.org,NOT-FOR-PROFIT,"=""0450"""
"=""04""","=""1427""","=""21S""",Am-Tree Developmental Nursery School,115 Spring Valley Rd.,,Montvale,NJ,"=""07645""",115 Spring Valley Rd.,,Montvale,NJ,"=""07645""","=""(201)391-8103""",Christine Datolli,Asst. Director,info.amtree@amtree.com,FOR-PROFIT,"=""3330"""
"=""26""","=""0718""","=""61G""",Am2Pm Childcare Learning Center,1000 STATE HIGHWAY 36,,HAZLET,NJ,"=""07730""",20 SHALLOW BROOK ROAD,,MORGANVILLE,NJ,"=""07751""","=""(732)264-3200""",R. KHANNA,ADMIN,RNK8@AOL.COM,NOT-FOR-PROFIT,"=""2105"""
"=""34""","=""2157""","=""26P""",Amazing Grace Early Education Center,89 West Mill St.,,Pedricktown,NJ,"=""08067""",PO Box 425,,Pedricktown,NJ,"=""08067""","=""(856)294-5433""",Shelley McFarland,Owner/Director,smcfarland@ageec.net,FOR-PROFIT,"=""3860"""
"=""16""","=""0422""","=""88D""",Ambassador Christian Academy,190 Lambs Rd.,,Sewell,NJ,"=""08080""",190 Lambs Rd.,,Sewell,NJ,"=""08080""","=""856-589-8900 x5""",Madeline Santos,Director,msantos@acaschool.net,NOT-FOR-PROFIT,"=""2990"""
"=""26""","=""1023""","=""38J""",Ambassador Christian Academy,4041 Squankum-Allewood Rd,,Allenwood,NJ,"=""08720""",4041 Squankum-Allewood Rd,,Allenwood,NJ,"=""08720""","=""(732)341-0860""",Dr. Marcia Serenelli,Head of School,mserenelli@ambassadornj.org,NOT-FOR-PROFIT,"=""5420"""
"=""28""","=""0914""","=""41I""",American Christian School,126 SOUTH HILLSIDE AVE,,SUCCASUNNA,NJ,"=""07876""",126 South Hillside Ave,,SUCCASUNNA,NJ,"=""07876""","=""(973)584-6616""",Mrs. Kristen Brennan,Head of School,admin@acs-nj.org,NOT-FOR-PROFIT,"=""4560"""
"=""28""","=""1977""","=""12W""",American Christian School (A),100 Academy St.,,Rockaway,NJ,"=""07866""",100 Academy St.,,Rockaway,NJ,"=""07866""","=""(973)328-1352""",Kristen Brennan,Head of School,kbrennan@acs-nj.org,NOT-FOR-PROFIT,"=""4480"""
"=""24""","=""0654""","=""04G""",Annoor Academy,1000 Hoes Lane,,PISCATAWAY,NJ,"=""08854""",P.O. Box 455,,PISCATAWAY,NJ,"=""08854""","=""(732)667-5300""",Nora Salem,Head of School Operations,info@annooracademy.com,NOT-FOR-PROFIT,"=""4130"""
"=""26""","=""1428""","=""21T""",Apple Hill Academy,205 Elton Adelphia Rd.,,Freehold,NJ,"=""07728""",205 Elton Adelphia Rd.,,Freehold,NJ,"=""07728""","=""(732)607-5899""",Helene Tanzer,Director,helene@applehillacademy.com,FOR-PROFIT,"=""1660"""
"=""06""","=""1669""","=""25B""",Apple Monetessori Schools,1401 South Church St.,,Mount Laurel,NJ,"=""08054""","710 Rt. 46 East, Suite 301",,Fairfeild,NJ,"=""07004""","=""(973)2836400""",Alyssa Pazos,Director,pazos@applemontessorischools.com,FOR-PROFIT,"=""3440"""
"=""18""","=""1764""","=""04C""",Apple Montessori Of Hoboken,1055 Maxwell Lane,,HOBOKEN,NJ,"=""07030""",5 NEWARK POMPTON TURNPIKE,,RIVERDALE,NJ,"=""07457""","=""(201)963-4949""","Andreas Dimitratos ","Director ","dimitratos@applemontessorischools.com ",NOT-FOR-PROFIT,"=""2210"""
"=""24""","=""1335""","=""00J""",Apple Montessori Of Metuchen,12 Center St,,METUCHEN,NJ,"=""08840""",12 Center Street,,Metuchen,NJ,"=""08840""","=""(732)205-1515 x2""",Naomi Stark,Regional Director,metuchen@applemontessorischools.com,FOR-PROFIT,"=""3120"""
"=""32""","=""1092""","=""01K""",Apple Montessori Of Wayne,25 NEVINS ROAD,,WAYNE,NJ,"=""07470""",25 Nevins Road,30 linden road,WAYNE,NJ,"=""07470""","=""(973)696-9750""",Christine Wyckoff,Director,wyckoff@applemontessorischools.com,FOR-PROFIT,"=""5570"""
"=""24""","=""1325""","=""00A""",Apple Montessori School (Annex),1876 Route 27,,EDISON,NJ,"=""08817""",1876 Route 27,,Edison,NJ,"=""08817""","=""(732)650-1060""",Alexandra DeGregorio,"Assistant Director ",edison27@applemontessorischools.com,FOR-PROFIT,"=""1290"""
"=""22""","=""2174""","=""27D""",Apple Montessori School - East Windsor,300D Princeton Hightstown Road,,East Windsor,NJ,"=""08520""",300D Princeton Hightstown Road,,East Windsor,NJ,"=""08520""","=""999-999-9999""",Simone Clark,Human Resource Admin.,hr@applemontessorischools.com,FOR-PROFIT,"=""1245"""
"=""36""","=""2186""","=""27R""",Apple Montessori School - Hillsborough,302 South Branch Road,,Hillsborough,NJ,"=""08844""",302 South Branch Road,,Hillsborough,NJ,"=""08844""","=""(973)559-3815""",Simone Clark,Human Resource Admin.,clark@applemontessorischools.com,FOR-PROFIT,"=""2170"""
"=""04""","=""1391""","=""14F""",Apple Montessori School of Cliffside Park,600 George Road,,Cliffside Park,NJ,"=""07010""",600 George Road,,Cliffside Park,NJ,"=""07010""","=""(201)840-1703""",Ajournae Rogers,Director,cliffsidepark@applemontessorischools.com,NOT-FOR-PROFIT,"=""0890"""
"=""04""","=""0033""","=""31A""",Apple Montessori School Of Edgewater,8 ADELAIDE PLACE,,EDGEWATER,NJ,"=""07020""",8 ADELAIDE PLACE,,EDGEWATER,NJ,"=""07020""","=""(201)224-6603""",Yesenia Barias,"Center Director ",edgewater@applemontessorischools.com,NOT-FOR-PROFIT,"=""1270"""
"=""24""","=""0599""","=""54F""",Apple Montessori School Of Edison,2825 WOODBRIDGE AVE,,EDISON,NJ,"=""08817""",2825 WOODBRIDGE AVE,,EDISON,NJ,"=""08817""","=""(732)494-4111 x2""",Naomi Stark,Regional Director,edison@applemontessorischools.com,FOR-PROFIT,"=""1290"""
"=""18""","=""1389""","=""14E""",Apple Montessori School of Hoboken,220 Sinatra Drive,,Hoboken,NJ,"=""07030""",220 Sinatra Drive,,Hoboken,NJ,"=""07030""","=""(201)222-1464""",Latoya Dawson,Director,Ldawson@applemontessorischools.com,FOR-PROFIT,"=""2210"""
"=""28""","=""0862""","=""92H""",Apple Montessori School Of Kinnelon,10 MAPLE LAKE ROAD,,KINNELON,NJ,"=""07405""",10 Maple Lake Road,,KINNELON,NJ,"=""07405""","=""(973)838-2122""","Anne Weinberg ",Director,Weinberg@applemontessorischools.com,FOR-PROFIT,"=""2460"""
"=""28""","=""0895""","=""24I""",Apple Montessori School Of Morris Plains,1339 LITTLETON ROAD,,MORRIS PLAINS,NJ,"=""07950""",1339 Littleton Road,,MORRIS PLAINS,NJ,"=""07950""","=""(973)538-1276""",Elizabeth Devine,Director,devine@applemontessorischools.com,FOR-PROFIT,"=""3950"""
"=""04""","=""0093""","=""85A""",Apple Montessori School Of Oakland,192 RAMAPO VALLEY ROAD,,OAKLAND,NJ,"=""07436""",192 Ramapo Valley Rd,,OAKLAND,NJ,"=""07436""","=""(201)337-0183""",Breanna Sinisi,"Director ",oakland@applemontessorischools.com,FOR-PROFIT,"=""3760"""
"=""28""","=""0905""","=""33I""",Apple Montessori School Of Randolph,470 MILLBROOK AVE.,,RANDOLPH,NJ,"=""07869""",470 MILLBROOK AVE.,,RANDOLPH,NJ,"=""07869""","=""(973)328-7737 x2""",Elizabeth Devine,Director,devine@applemontessorischools.com,FOR-PROFIT,"=""4330"""
"=""28""","=""0871""","=""01I""",Apple Montessori School Of Towaco,9 WAUGHAW ROAD,,TOWACO,NJ,"=""07082""",9 Waughaw Road,,TOWACO,NJ,"=""07082""","=""(973)331-8141  ext:2""",Chelsea Finley,Director,towaco@applemontessorischools.com,FOR-PROFIT,"=""3340"""
"=""36""","=""1823""","=""06W""",Apple Montessori School of Warren,117 Mt. Bethel Rd,,Warren,NJ,"=""07059""",117 Mt. Bethel Rd,,Warren,NJ,"=""07059""","=""(908)822-9900""",Liz Bilder,Director,management@primrosewarren.com,FOR-PROFIT,"=""5470"""
"=""04""","=""0076""","=""70A""",Apple Montessorischool Of Mahwah,75 EAST RAMAPO AVENUE,,MAHWAH,NJ,"=""07430""",75 East Ramapo Ave,,MAHWAH,NJ,"=""07430""","=""(201)512-1141""",Ms. Ferentinos,"Assistant Director ",ferentinos@applemontessorischools.com,FOR-PROFIT,"=""2900"""
"=""36""","=""1121""","=""27K""",Apples & Books Learning Center,1036 ROUTE 202,,BRANCHBURG,NJ,"=""08876""",1036 ROUTE 202,,BRANCHBURG,NJ,"=""08876""","=""(908)429-4275""",Vanessa Carey,Director,applesbooks@verizon.net,NOT-FOR-PROFIT,"=""0510"""
"=""26""","=""1805""","=""06C""","Applied Behavioral Concepts, Inc.",906 Rt. 33 East,,Freehold,NJ,"=""07728""",906 ROUTE 33 EAST,Floor 2 Apt B,Freehold,NJ,"=""07728""","=""(732)918-0850""",Jessica Asen Mulhorn,Director,asen@njautism.org,NOT-FOR-PROFIT,"=""1640"""
"=""14""","=""0352""","=""23D""",Aquinas Academy,388 SO LIVINGSTON AVE,,LIVINGSTON,NJ,"=""07039""",388 S. Livingston Avenue,,LIVINGSTON,NJ,"=""07039""","=""(973)992-1587""",Eileen O'Neill,Principal,eoneill@aqanj.org,NOT-FOR-PROFIT,"=""2730"""
"=""28""","=""0861""","=""91H""",Arrow Academy,90 Whippany Road,,WHIPPANY,NJ,"=""07981""",90 Whippany Road,,WHIPPANY,NJ,"=""07981""","=""(973)888-2083 """,Won Kyu Rim,Principal,q@thearrowacademy.org,NOT-FOR-PROFIT,"=""2000"""
"=""30""","=""1701""","=""19A""","Ashira High School ",44 Arosa Hill,,Lakewood,NJ,"=""08701""",44 Arosa Hill,,Lakewood,NJ,"=""08701""","=""(848)525-3782""",Mrs. Friedman,Principal,ashirahigh@gmail.com,NOT-FOR-PROFIT,"=""2520"""
"=""36""","=""1396""","=""14M""",Aspire,"450 Amwell Rd., Suites M and N",,Hillsborough,NJ,"=""08844""","450 Amwell Rd., Suites M and N",,Hillsborough,NJ,"=""08844""","=""(908)300-1597""",Melissa Langford,Director,melissa@aspire-nj.com,NOT-FOR-PROFIT,"=""2170"""
"=""24""","=""0652""","=""02G""",Assumption Catholic School,MEREDITH & JACQUES STREET,,PERTH AMBOY,NJ,"=""08861""",Meredith and Jacques Sts,,PERTH AMBOY,NJ,"=""08861""","=""(732)826-8721""",Mrs. Lissette Shumny,Principal,lshumnyl@assumptioncatholicschool.net,NOT-FOR-PROFIT,"=""4090"""
"=""04""","=""0035""","=""33A""",Assumption Early Childhood Center,35 JEFFERSON AVENUE,,EMERSON,NJ,"=""07630""",35 JEFFERSON AVENUE,,EMERSON,NJ,"=""07630""","=""(201)262-0300""",Ms Susan Jurevich,DIRECTOR,sjurevich@assumptionacad.org,NOT-FOR-PROFIT,"=""1360"""
"=""02""","=""0015""","=""15A""",Assumption Regional Catholic School,146 SOUTH PITNEY ROAD,,GALLOWAY,NJ,"=""08205""",146 S. PITNEY ROAD,,GALLOWAY,NJ,"=""08205""","=""(609)652-7134""",Joan Dollinger,PRINCIPAL,jdollinger@arcsgalloway.org,NOT-FOR-PROFIT,"=""1690"""
"=""28""","=""0882""","=""12I""",Assumption School,63 MACCULLOCH AVE,,MORRISTOWN,NJ,"=""07960""",63 Macculloch Avenue,,MORRISTOWN,NJ,"=""07960""","=""(973)538-0590""",Sister Merris Larkin,Principal,mlarkin@assumptionnj.org,NOT-FOR-PROFIT,"=""3385"""
"=""30""","=""1362""","=""01J""",Ateres Bais Yaakov,360 Oak St.,,Lakewood,NJ,"=""08701""",17 Pressburg Lane,,Lakewood,NJ,"=""08701""","=""(732)683-0244""",Miss R. Katzman,Secretary,rkatzman@ateresbaisyaakov.org,NOT-FOR-PROFIT,"=""2520"""
"=""02""","=""0008""","=""09A""",Atlantic Christian School,391 ZION ROAD,,EGG HARBOR TWP,NJ,"=""08234""",391 Zion Road,391 Zion Road,EGG HARBOR TWP,NJ,"=""08234""","=""(609)653-1199ext.310""",Karen Oblen,Chief School Administrator,koblen@acseht.org,NOT-FOR-PROFIT,"=""1310"""
"=""26""","=""0816""","=""51H""",Atlantis Preparatory School,1904 ATLANTIC AVENUE,,MANASQUAN,NJ,"=""08736""",1904 Atlantic Ave,,MANASQUAN,NJ,"=""08736""","=""(732)528-5437""",Allison Storer,Director,allisons@theatlanticclub.com,FOR-PROFIT,"=""5420"""
"=""26""","=""1864""","=""08Q""",B&J Development DBA Ivy Hill Middletown,204 Wilson Ave,,Port Monmouth,NJ,"=""07758""",PO Box 23,,Rumson,NJ,"=""07760""","=""(732)787-7600""",Pamela Palma,Director,IvyHMiddletown@aol.com,NOT-FOR-PROFIT,"=""3160"""
"=""14""","=""0353""","=""24D""",B'Nai Jeshurun Early Childhood Cnt,1025 SOUTH ORANGE AVENUE,,SHORT HILLS,NJ,"=""07078""",1025 SOUTH ORANGE AVENUE,,SHORT HILLS,NJ,"=""07078""","=""9736508256""",ANDREA KESSLER,Assistant Director,akessler@tbj.org,NOT-FOR-PROFIT,"=""3190"""
"=""18""","=""0468""","=""31E""",Badr School,539 BERGEN AVENUE,,JERSEY CITY,NJ,"=""07304""",539 Bergen Avenue,,JERSEY CITY,NJ,"=""07304""","=""(201)435-1075""",Heba Abdel-Kader,Principal,cobaltblue160@gmail.com,NOT-FOR-PROFIT,"=""2390"""
"=""30""","=""1703""","=""19C""",Bais Brocho Stolin Karlin,1755 Ridge. Ave.,,Lakewood,NJ,"=""08701""",1640 W. County Line Rd.,,Lakewood,NJ,"=""08701""","=""(347)853-1944""",Elisha Gottdiener,Dean,office@baisbrochonj.org,NOT-FOR-PROFIT,"=""2520"""
"=""30""","=""0954""","=""76I""",Bais Chinuch L'Bonos Bayis Ruchel,115 CAREY STREET,,LAKEWOOD,NJ,"=""08701""",115 Carey Street,,LAKEWOOD,NJ,"=""08701""","=""(732)905-1251""",Jacob Phillip,Dean,ypbaisrochel@gmail.com,NOT-FOR-PROFIT,"=""2520"""
"=""26""","=""1748""","=""03H""",Bais Chinuch L'Bonos Bayis Ruchel Inc.,152 Lanes Mill Rd,,HOWELL,NJ,"=""07731""",152 Lanes Mill Rd,,Howell,NJ,"=""07731""","=""732-886-5324 e. 111""",yoel phillip,Administrator,yphillip@baisleah.com,NOT-FOR-PROFIT,"=""2290"""
"=""30""","=""0955""","=""77I""",Bais Faiga School for Girls,350 Courtney Road,,LAKEWOOD,NJ,"=""08701""",PO Box 838,,LAKEWOOD,NJ,"=""08701""","=""(732)370-6400""",Rabbi Gottesman,Manager,office@lakewoodcheder.net,NOT-FOR-PROFIT,"=""2520"""
"=""30""","=""2051""","=""16K""",Bais Hachinuch L'Banos,20 Monterey Circle,,Lakewood,NJ,"=""08701""",20 Monterey Circle,,Lakewood,NJ,"=""08701""","=""(732)806-7388""",Naftalie Berger,Adminstrator,programs@bhlschool.org,NOT-FOR-PROFIT,"=""2520"""
